,Indicator Name,Indicator Code,Topic description
295,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,Social: education
296,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,Social: education
297,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS,Social: education
298,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,Social: education
299,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,Social: education
300,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS,Social: education
301,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,Social: education
302,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,Social: education
303,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,Social: education
304,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS,Social: education
305,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,Social: education
306,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",SE.TER.CUAT.ST.FE.ZS,Social: education
307,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS,Social: education
308,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,Social: education
309,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS,Social: education
310,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.UP.MA.ZS,Social: education
311,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Social: education
312,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.MS.FE.ZS,Social: education
313,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.MS.MA.ZS,Social: education
314,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,Social: education
315,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.DO.FE.ZS,Social: education
316,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.DO.MA.ZS,Social: education
317,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,Social: education
318,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Environment: energy
319,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Environment: energy
320,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,Environment: energy
321,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,Environment: energy
322,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,Environment: energy
323,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Environment: energy
324,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,Environment: energy
325,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,Environment: energy
326,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,Environment: energy
327,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,Environment: energy
328,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,Social: labor
329,"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS,Social: labor
330,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,Social: labor
331,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Social: labor
332,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Social: labor
333,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Social: labor
334,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Social: labor
335,"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Social: labor
336,"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Social: labor
337,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Social: labor
338,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Social: labor
339,"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Social: labor
340,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Social: labor
341,"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Social: labor
342,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Social: labor
343,"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Social: labor
344,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Social: labor
345,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Social: labor
346,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Social: labor
347,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Social: labor
348,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Social: labor
349,"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Social: labor
350,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Social: labor
351,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Social: labor
352,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Environment: energy
353,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,Environment: energy
354,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,Environment: general
355,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Environment: energy
356,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,Environment: energy
357,Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,Social: health
358,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,Social: education
359,Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,Social: education
360,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,Social: education
361,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Government finance: IMF
362,Expense (current LCU),GC.XPN.TOTL.CN,Government finance: IMF
363,Export unit value index (2000 = 100),TX.UVI.MRCH.XD.WD,Trade: exports
364,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,Trade: exports
365,Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,Trade: exports
366,Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,National accounts: income
367,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,National accounts: expenditure
368,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,National accounts: expenditure
369,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,"Balance of payments: exports, receipts (debit)"
370,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,National accounts: expenditure
371,Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,National accounts: expenditure
372,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,National accounts: expenditure
373,Exports of goods and services (current US$),NE.EXP.GNFS.CD,National accounts: expenditure
374,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,"Balance of payments: exports, receipts (debit)"
375,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,National accounts: expenditure
376,External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,National accounts: expenditure
377,External balance on goods and services (current LCU),NE.RSB.GNFS.CN,National accounts: expenditure
378,External balance on goods and services (current US$),NE.RSB.GNFS.CD,National accounts: expenditure
379,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,Debt: external
380,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Debt: external
381,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Debt: external
382,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,Debt: external
383,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,Debt: external
384,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Debt: external
385,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,Social: health
386,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,Social: health
387,"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,Social: health
388,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,Social: health
389,Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,Social: population
390,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,Social: labor
391,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Social: population
392,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Agriculture
393,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,Agriculture
394,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,National accounts: expenditure
395,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,National accounts: expenditure
396,Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,National accounts: expenditure
397,Final consumption expenditure (constant LCU),NE.CON.TOTL.KN,National accounts: expenditure
398,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,National accounts: expenditure
399,Final consumption expenditure (current US$),NE.CON.TOTL.CD,National accounts: expenditure
400,Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,National accounts: value added
401,Financial intermediary services indirectly Measured (FISIM) (current LCU),NV.FSM.TOTL.CN,National accounts: value added
402,Firms competing against unregistered firms (% of firms),IC.FRM.CMPU.ZS,Investment climate
403,Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS,Investment climate
404,Firms experiencing electrical outages (% of firms),IC.ELC.OUTG.ZS,Investment climate
405,Firms experiencing losses due to theft and vandalism (% of firms),IC.FRM.THEV.ZS,Investment climate
406,Firms formally registered when operations started (% of firms),IC.FRM.FREG.ZS,Investment climate
407,Firms offering formal training (% of firms),IC.FRM.TRNG.ZS,Investment climate
408,Firms that do not report all sales for tax purposes (% of firms),IC.FRM.INFM.ZS,Investment climate
409,Firms that spend on R&D (% of firms),IC.FRM.RSDV.ZS,Investment climate
410,Firms using banks to finance investment (% of firms),IC.FRM.BNKS.ZS,Investment climate
411,Firms using banks to finance working capital (% of firms),IC.FRM.BKWC.ZS,Investment climate
412,Firms visited or required meetings with tax officials (% of firms),IC.FRM.METG.ZS,Investment climate
413,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,Investment climate
414,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,Investment climate
415,"Fish species, threatened",EN.FSH.THRD.NO,Environment: general
416,Fixed broadband subscriptions,IT.NET.BBND,Infrastructure: telecommunications
417,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Infrastructure: telecommunications
418,Fixed telephone subscriptions,IT.MLT.MAIN,Infrastructure: telecommunications
419,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Infrastructure: telecommunications
420,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,Trade: exports
421,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,Trade: imports
422,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Agriculture
423,"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,National accounts: value added
424,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Balance of payments: net
425,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,"Balance of payments: exports, receipts (debit)"
426,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Balance of payments: exports, receipts (debit)"
427,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,"Balance of payments: imports, payments (credit)"
428,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,"Balance of payments: imports, payments (credit)"
429,Forest area (% of land area),AG.LND.FRST.ZS,Agriculture
430,Forest area (sq. km),AG.LND.FRST.K2,Agriculture
431,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,National accounts: income
432,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Environment: energy
433,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Trade: exports
434,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,Trade: imports
435,GDP (constant 2015 US$),NY.GDP.MKTP.KD,National accounts: income
436,GDP (constant LCU),NY.GDP.MKTP.KN,National accounts: income
437,GDP (current LCU),NY.GDP.MKTP.CN,National accounts: income
438,GDP (current US$),NY.GDP.MKTP.CD,National accounts: income
439,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,National accounts: income
440,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,National accounts: income
441,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,National accounts: income
442,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,National accounts: income
443,GDP per capita (constant LCU),NY.GDP.PCAP.KN,National accounts: income
444,GDP per capita (current LCU),NY.GDP.PCAP.CN,National accounts: income
445,GDP per capita (current US$),NY.GDP.PCAP.CD,National accounts: income
446,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,National accounts: income
447,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,National accounts: income
448,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,National accounts: income
449,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,Social: labor
450,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Environment: energy
451,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,Environment: energy
452,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,National accounts: income
453,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,National accounts: income
454,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,National accounts: income
455,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,National accounts: expenditure
456,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,National accounts: expenditure
457,General government final consumption expenditure (constant 2015 US$),NE.CON.GOVT.KD,National accounts: expenditure
458,General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,National accounts: expenditure
459,General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,National accounts: expenditure
460,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,National accounts: expenditure
461,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE,Environment: general
462,Gini index (World Bank estimate),SI.POV.GINI,Social: income
463,GNI (constant 2015 US$),NY.GNP.MKTP.KD,National accounts: income
464,GNI (constant LCU),NY.GNP.MKTP.KN,National accounts: income
465,GNI (current LCU),NY.GNP.MKTP.CN,National accounts: income
466,GNI (current US$),NY.GNP.MKTP.CD,National accounts: income
467,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,National accounts: income
468,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,National accounts: income
469,GNI per capita (constant LCU),NY.GNP.PCAP.KN,National accounts: income
470,GNI per capita (current LCU),NY.GNP.PCAP.CN,National accounts: income
471,GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,National accounts: income
472,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,National accounts: income
473,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,National accounts: income
474,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,National accounts: income
475,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,National accounts: income
476,"GNI, PPP (constant 2017 international $)",NY.GNP.MKTP.PP.KD,National accounts: income
477,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,National accounts: income
478,GNI: linked series (current LCU),NY.GNP.MKTP.CN.AD,National accounts: income
479,Goods and services expense (% of expense),GC.XPN.GSRV.ZS,Government finance: IMF
480,Goods and services expense (current LCU),GC.XPN.GSRV.CN,Government finance: IMF
481,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,"Balance of payments: exports, receipts (debit)"
482,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,"Balance of payments: imports, payments (credit)"
483,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Social: education
484,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Social: education
485,"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Social: education
486,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Social: education
487,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Social: education
488,Grants and other revenue (% of revenue),GC.REV.GOTR.ZS,Government finance: IMF
489,Grants and other revenue (current LCU),GC.REV.GOTR.CN,Government finance: IMF
490,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,"Balance of payments: exports, receipts (debit)"
491,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,National accounts: expenditure
492,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,National accounts: expenditure
493,Gross capital formation (constant 2015 US$),NE.GDI.TOTL.KD,National accounts: expenditure
494,Gross capital formation (constant LCU),NE.GDI.TOTL.KN,National accounts: expenditure
495,Gross capital formation (current LCU),NE.GDI.TOTL.CN,National accounts: expenditure
496,Gross capital formation (current US$),NE.GDI.TOTL.CD,National accounts: expenditure
497,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,National accounts: income
498,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,National accounts: income
499,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,National accounts: income
500,Gross domestic savings (current US$),NY.GDS.TOTL.CD,National accounts: income
501,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,National accounts: expenditure
502,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,National accounts: expenditure
503,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,National accounts: expenditure
504,Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,National accounts: expenditure
505,Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,National accounts: expenditure
506,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,National accounts: expenditure
507,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,National accounts: expenditure
508,"Gross fixed capital formation, private sector (current LCU)",NE.GDI.FPRV.CN,National accounts: expenditure
509,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",SE.PRM.GINT.FE.ZS,Social: education
510,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS,Social: education
511,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,Social: education
512,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,National accounts: expenditure
513,Gross national expenditure (constant 2015 US$),NE.DAB.TOTL.KD,National accounts: expenditure
514,Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,National accounts: expenditure
515,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,National accounts: expenditure
516,Gross national expenditure (current US$),NE.DAB.TOTL.CD,National accounts: expenditure
517,Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS,National accounts: expenditure
518,Gross savings (% of GDP),NY.GNS.ICTR.ZS,National accounts: income
519,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,National accounts: income
520,Gross savings (current LCU),NY.GNS.ICTR.CN,National accounts: income
521,Gross savings (current US$),NY.GNS.ICTR.CD,National accounts: income
522,Gross value added at basic prices (GVA) (constant 2015 US$),NY.GDP.FCST.KD,National accounts: income
523,Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,National accounts: income
524,Gross value added at basic prices (GVA) (current LCU),NY.GDP.FCST.CN,National accounts: income
525,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,National accounts: income
526,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,Environment: general
527,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Trade: exports
528,High-technology exports (current US$),TX.VAL.TECH.CD,Trade: exports
529,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Social: health
530,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,National accounts: expenditure
531,Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG,National accounts: expenditure
532,Households and NPISHs Final consumption expenditure (constant 2015 US$),NE.CON.PRVT.KD,National accounts: expenditure
533,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,National accounts: expenditure
534,Households and NPISHs Final consumption expenditure (current LCU),NE.CON.PRVT.CN,National accounts: expenditure
535,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,National accounts: expenditure
536,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,National accounts: expenditure
537,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,National accounts: expenditure
538,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,National accounts: expenditure
539,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,National accounts: expenditure
540,Households and NPISHs final consumption expenditure: linked series (current LCU),NE.CON.PRVT.CN.AD,National accounts: expenditure
541,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,
542,"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,
543,"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE,
544,"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,
545,"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB,
546,"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,
547,"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA,
548,"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,
549,"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,
550,"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Debt: external
551,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,Trade: exports
552,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Trade: imports
553,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,"Balance of payments: exports, receipts (debit)"
554,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,"Balance of payments: exports, receipts (debit)"
555,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Index quality assessment
556,"IFC, private nonguaranteed (NFL, current US$)",DT.NFL.NIFC.CD,Debt: external
557,"IMF repurchases and charges (TDS, current US$)",DT.TDS.DIMF.CD,Debt: external
558,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Social: health
559,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Social: health
560,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Social: health
561,Import unit value index (2000 = 100),TM.UVI.MRCH.XD.WD,Trade: imports
562,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,Trade: imports
563,Import volume index (2000 = 100),TM.QTY.MRCH.XD.WD,Trade: imports
564,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,National accounts: expenditure
565,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,National accounts: expenditure
566,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,"Balance of payments: imports, payments (credit)"
567,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,National accounts: expenditure
568,Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,National accounts: expenditure
569,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,National accounts: expenditure
570,Imports of goods and services (current US$),NE.IMP.GNFS.CD,National accounts: expenditure
571,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,"Balance of payments: imports, payments (credit)"
572,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,Social: health
573,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Social: health
574,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,Social: health
575,"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Social: health
576,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Social: health
577,Income share held by fourth 20%,SI.DST.04TH.20,Social: income
578,Income share held by highest 10%,SI.DST.10TH.10,Social: income
579,Income share held by highest 20%,SI.DST.05TH.20,Social: income
580,Income share held by lowest 10%,SI.DST.FRST.10,Social: income
581,Income share held by lowest 20%,SI.DST.FRST.20,Social: income
582,Income share held by second 20%,SI.DST.02ND.20,Social: income
583,Income share held by third 20%,SI.DST.03RD.20,Social: income
584,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),SH.UHC.NOP1.ZG,Social: health
585,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),SH.UHC.NOP1.CG,Social: health
586,Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),SH.UHC.NOP2.ZG,Social: health
587,Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),SH.UHC.NOP2.CG,Social: health
588,Individuals using the Internet (% of population),IT.NET.USER.ZS,Infrastructure: telecommunications
589,"Industrial design applications, nonresident, by count",IP.IDS.NRCT,Intellectual property
590,"Industrial design applications, resident, by count",IP.IDS.RSCT,Intellectual property
591,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,National accounts: value added
592,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,National accounts: value added
593,"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,National accounts: value added
594,"Industry (including construction), value added (constant LCU)",NV.IND.TOTL.KN,National accounts: value added
